District name,Nov-2023,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,"Without Food
(in TK)",None
None,One meal,None,Two meal,None,Three meal,None,None,None
None,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,675,485,625,441,575,370,724,550
Khagrachari,450,300,0,0,0,0,494,404
Rangamati,444,338,325,241,0,0,540,391
Chattogram,666,471,590,420,550,395,704,495
Cox’sbazar,753,425,716,390,660,0,819,475
Cumilla,559,401,507,370,430,342,600,450
Chandpur,0,0,0,0,0,0,600,0
Brahmmanbaria,500,425,465,0,438,367,578,500
Noakhali,588,0,538,0,491,0,678,0
Lakshmipur,0,0,0,0,0,0,420,0
Feni,650,0,0,0,0,0,700,0
"Chattogram
Division",587,406,538,372,524,368,623,466
Sylhet,457,350,402,0,375,0,503,400
Maulavi Bazar,478,391,450,350,0,0,513,424
Sunamganj,502,359,0,0,0,0,556,401
Habiganj,500,350,0,0,0,0,522,430
Sylhet Division,484,362,426,350,375,0,523,414
Dhaka,600,450,561,400,575,350,638,550
Gazipur,638,500,0,0,569,481,740,585
Manikganj,600,500,570,450,510,400,643,538
Munshiganj,0,0,0,0,532,0,621,400
Narayanganj,0,0,0,0,0,0,495,428
Narsingdi,0,0,562,300,583,0,593,350
Faridpur,569,0,0,0,500,0,612,400
Rajbari,563,0,575,0,0,0,613,0
Madaripur,446,419,0,0,500,0,519,426
Gopalganj,650,0,0,0,475,300,560,450
Shariatpur,625,363,0,0,600,0,683,420
Tangail,605,480,597,430,557,380,697,565
Kishoreganj,500,0,541,0,576,0,585,0
Dhaka Division,579,452,568,395,543,382,615,465
Mymensing,647,570,607,562,577,397,538,465
Jamalpur,650,-,610,-,565,-,500,-
Sherpur,660,400,620,370,600,-,570,350
Netrokona,632,520,613,460,575,-,559,450
"Mymensing
Division",647,497,613,464,579,397,542,422
