District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,0.0
Jhalokathi,2018-19,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Bandarban,2018-19,326.0,408.0
Brahmanbaria,2018-19,7.0,30.0
Chandpur,2018-19,3393.0,1328.0
Chattogram,2018-19,0.0,0.0
Cumilla,2018-19,0.0,17.0
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,0.0,134.0
Khagrachhari,2018-19,428.0,397.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,0.0
Rangamati,2018-19,794.0,541.0
Chattogram Division,2018-19,4948.0,2855.0
Dhaka,2018-19,1829.0,1090.0
Faridpur,2018-19,0.0,779.0
Gazipur,2018-19,76.0,0.0
Gopalganj,2018-19,0.0,26.0
Kishoreganj,2018-19,0.0,0.0
Madaripur,2018-19,0.0,0.0
Manikganj,2018-19,25163.0,14222.0
Munshiganj,2018-19,4114.0,9621.0
Narayanganj,2018-19,0.0,0.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,82.0,32.0
Shariatpur,2018-19,0.0,0.0
Tangail,2018-19,0.0,0.0
Dhaka Division,2018-19,31264.0,25770.0
Bagerhat,2018-19,0.0,0.0
Chuadanga,2018-19,150.0,72.0
Jessore,2018-19,0.0,0.0
Jhenaidah,2018-19,0.0,210.0
Khulna,2018-19,0.0,0.0
Kushtia,2018-19,1089.0,626.0
Magura,2018-19,0.0,0.0
Meherpur,2018-19,0.0,0.0
Narail,2018-19,0.0,0.0
Satkhira,2018-19,0.0,0.0
Khulna,2018-19,1239.0,908.0
Jamalpur,2018-19,0.0,85.0
Mymensinghh,2018-19,0.0,0.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,0.0,129.0
Mymensinghh Division,2018-19,0.0,214.0
Bogura,2018-19,3489.0,1219.0
Joypurhat,2018-19,180.0,206.0
Naogaon,2018-19,6265.0,2304.0
Natore,2018-19,4585.0,19206.0
Chapai Nawabganj,2018-19,2690.0,2289.0
Pabna,2018-19,243.0,89.0
Rajshahi,2018-19,50977.0,21760.0
Sirajganj,2018-19,202.0,124.0
Rajshahi Division,2018-19,68631.0,47197.0
Dinajpur,2018-19,36624.0,12071.0
Gaibandha,2018-19,1442.0,1507.0
Kurigram,2018-19,2200.0,5563.0
Lalmonirhat,2018-19,37386.0,12150.0
Nilphamari,2018-19,18011.0,5109.0
Panchagarh,2018-19,3733.0,2867.0
Rangpur,2018-19,55655.0,23134.0
Thakurgaon,2018-19,132805.0,53081.0
Rangpur,2018-19,287856.0,115482.0
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,0.0,0.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,0.0,0.0
Bhola,2020-21,0.0,0.0
Jhalokathi,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Bandarban,2020-21,564.0,413.5
Brahmanbaria,2020-21,48.0,34.3
Chandpur,2020-21,2747.0,1486.15
Chattogram,2020-21,0.0,0.0
Cumilla,2020-21,73.0,0.0
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,477.0,170.13
Khagrachhari,2020-21,414.0,422.06
Lakshmipur,2020-21,0.0,155.0
Noakhali,2020-21,0.0,0.0
Rangamati,2020-21,750.0,468.85
Chattogram Division,2020-21,5043.0,3149.99
Dhaka,2020-21,2736.0,3003.0
Faridpur,2020-21,1760.0,0.0
Gazipur,2020-21,0.0,152.57
Gopalganj,2020-21,81.0,22.2
Kishoreganj,2020-21,0.0,0.0
Madaripur,2020-21,0.0,0.0
Manikganj,2020-21,30510.0,14417.0
Munshiganj,2020-21,20748.0,9750.0
Narayanganj,2020-21,0.0,0.0
Narsingdi,2020-21,0.0,0.0
Rajbari,2020-21,78.0,36.0
Shariatpur,2020-21,0.0,30.0
Tangail,2020-21,0.0,0.0
Dhaka Division,2020-21,55913.0,27410.77
Bagerhat,2020-21,0.0,0.0
Chuadanga,2020-21,166.0,41.0
Jessore,2020-21,0.0,24.0
Jhenaidah,2020-21,612.0,30.0
Khulna,2020-21,0.0,3.0
Kushtia,2020-21,1605.0,669.0
Magura,2020-21,0.0,0.0
Meherpur,2020-21,0.0,0.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,0.0,0.0
Khulna,2020-21,2383.0,767.0
Jamalpur,2020-21,273.0,60.0
Mymensinghh,2020-21,0.0,35.0
Netrokona,2020-21,0.0,0.0
Sherpur,2020-21,486.0,134.0
Mymensinghh Division,2020-21,759.0,229.0
Bogura,2020-21,2799.0,643.0
Joypurhat,2020-21,709.0,0.0
Naogaon,2020-21,5349.0,2221.0
Natore,2020-21,35691.0,18714.0
Chapai Nawabganj,2020-21,4104.0,2278.02
Pabna,2020-21,0.0,95.0
Rajshahi,2020-21,52131.0,22093.33
Sirajganj,2020-21,239.0,325.04
Rajshahi Division,2020-21,101266.0,46369.39
Dinajpur,2020-21,34375.0,14526.0
Gaibandha,2020-21,5147.0,1268.0
Kurigram,2020-21,15844.0,6814.0
Lalmonirhat,2020-21,34552.0,17919.25
Nilphamari,2020-21,17124.0,4060.0
Panchagarh,2020-21,8517.0,2710.0
Rangpur,2020-21,67667.0,20953.0
Thakurgaon,2020-21,138687.0,51107.0
Rangpur,2020-21,321913.0,119357.25
Habiganj,2020-21,0.0,0.0
Maulvibazar,2020-21,0.0,0.0
Sunamganj,2020-21,0.0,0.0
Sylhet,2020-21,0.0,0.0
Sylhet Division,2020-21,0.0,0.0
Bhola,2022-23,0.0,0.0
Jhalokathi,2022-23,0.0,0.0
Patuakhali,2022-23,0.0,0.0
Pirojpur,2022-23,0.0,0.0
Bandarban,2022-23,345.0,427.5
Brahmanbaria,2022-23,68.09,123.4
Chandpur,2022-23,3367.58,1587.3
Chattogram,2022-23,0.0,0.0
Cumilla,2022-23,0.0,0.0
Cox’s Bazar,2022-23,0.0,0.0
Feni,2022-23,486.99,0.0
Khagrachhari,2022-23,473.37,455.99
Lakshmipur,2022-23,279.0,0.0
Noakhali,2022-23,0.0,0.0
Rangamati,2022-23,621.51,478.81
Dhaka,2022-23,8411.0,2610.0
Faridpur,2022-23,0.0,382.3
Gazipur,2022-23,381.27,36.45
Gopalganj,2022-23,55.5,23.1
Kishoreganj,2022-23,0.0,0.0
Madaripur,2022-23,0.0,0.0
Manikganj,2022-23,32374.66,14775.1
Munshiganj,2022-23,22871.94,9969.0
Narayanganj,2022-23,0.0,108.0
Narsingdi,2022-23,0.0,0.0
Rajbari,2022-23,85.0,126.0
Shariatpur,2022-23,68.0,35.0
Tangail,2022-23,0.0,0.0
Bagerhat,2022-23,0.0,0.0
Chuadanga,2022-23,84.0,12.5
Jessore,2022-23,92.0,0.0
Jhenaidah,2022-23,44.0,188.0
Khulna,2022-23,6.63,26.37
Kushtia,2022-23,1732.0,1563.0
Magura,2022-23,0.0,9.53
Meherpur,2022-23,0.0,0.0
Narail,2022-23,0.0,0.0
Satkhira,2022-23,0.0,0.0
Jamalpur,2022-23,187.0,63.0
Mymensinghh,2022-23,114.0,234.0
Netrokona,2022-23,0.0,0.0
Sherpur,2022-23,463.0,118.0
Bogura,2022-23,1710.32,1130.12
Joypurhat,2022-23,0.0,6.2
Naogaon,2022-23,5399.1,1803.84
Natore,2022-23,55880.0,21435.0
Chapai Nawabganj,2022-23,4188.69,3567.75
Pabna,2022-23,260.27,99.0
Rajshahi,2022-23,60695.54,25279.06
Sirajganj,2022-23,849.43,471.5
Dinajpur,2022-23,43133.0,18169.0
Gaibandha,2022-23,4234.0,1030.0
Kurigram,2022-23,21876.63,5926.0
Lalmonirhat,2022-23,54467.32,18458.0
Nilphamari,2022-23,13686.81,3841.0
Panchagarh,2022-23,9373.5,3200.0
Rangpur,2022-23,65599.0,19979.0
Thakurgaon,2022-23,134086.52,53658.0
Habiganj,2022-23,0.0,0.0
Maulvibazar,2022-23,0.0,0.0
Sunamganj,2022-23,0.0,0.0
Sylhet,2022-23,0.0,0.0
