District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,0.0
Jhalokathi,2018-19,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,73.0,78.0
Bandarban,2018-19,0.0,0.0
Brahmanbaria,2018-19,3407.0,81.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,0.0,295.0
Cumilla,2018-19,0.0,0.0
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,0.0,0.0
Khagrachhari,2018-19,0.0,0.0
Lakshmipur,2018-19,7.0,2.42
Noakhali,2018-19,4.0,5.33
Rangamati,2018-19,0.0,0.0
Chattogram Division,2018-19,3418.0,383.75
Dhaka,2018-19,22684.0,5065.0
Faridpur,2018-19,564.0,368.0
Gazipur,2018-19,0.0,24.0
Gopalganj,2018-19,92.0,59.0
Kishoreganj,2018-19,51.0,0.0
Madaripur,2018-19,8337.0,1523.0
Manikganj,2018-19,0.0,102.0
Munshiganj,2018-19,0.0,76.0
Narayanganj,2018-19,80.0,42.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,121.0,75.0
Shariatpur,2018-19,559.0,404.0
Tangail,2018-19,1284.0,523.0
Dhaka Division,2018-19,33772.0,8261.0
Bagerhat,2018-19,10.0,0.0
Chuadanga,2018-19,280.0,293.0
Jessore,2018-19,50.0,74.0
Jhenaidah,2018-19,2332.0,172.0
Khulna,2018-19,15.0,18.0
Kushtia,2018-19,532.0,52.0
Magura,2018-19,355.0,29.0
Meherpur,2018-19,1573.0,297.0
Narail,2018-19,0.0,0.0
Satkhira,2018-19,0.0,0.0
Khulna Division,2018-19,5147.0,935.0
Jamalpur,2018-19,34.0,70.0
Mymensinghh,2018-19,36.0,22.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,0.0,0.0
Mymensinghh Division,2018-19,70.0,92.0
Bogura,2018-19,418.0,69.0
Joypurhat,2018-19,0.0,8.0
Naogaon,2018-19,43.0,4.0
Natore,2018-19,0.0,0.0
Chapai Nawabganj,2018-19,0.0,46.0
Pabna,2018-19,66166.0,8191.0
Rajshahi,2018-19,0.0,0.0
Sirajganj,2018-19,104237.0,19837.0
Rajshahi Division,2018-19,170864.0,28155.0
Dinajpur,2018-19,115.0,81.0
Gaibandha,2018-19,80.0,35.0
Kurigram,2018-19,0.0,0.0
Lalmonirhat,2018-19,0.0,0.0
Nilphamari,2018-19,146.0,38.0
Panchagarh,2018-19,0.0,34.0
Rangpur,2018-19,87.0,121.0
Thakurgaon,2018-19,0.0,0.0
Rangpur Divison,2018-19,428.0,309.0
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,0.0,0.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,0.0,0.0
Bhola,2020-21,0.0,0.0
Jhalokathi,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,90.0,82.0
Bandarban,2020-21,0.0,0.0
Brahmanbaria,2020-21,121.5,111.0
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,447.0,375.0
Cumilla,2020-21,0.0,0.0
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,0.0,0.0
Khagrachhari,2020-21,0.0,0.0
Lakshmipur,2020-21,7.45,36.5
Noakhali,2020-21,4.63,6.04
Rangamati,2020-21,0.0,0.0
Chattogram Division,2020-21,580.58,528.54
Dhaka,2020-21,38746.0,5374.95
Faridpur,2020-21,577.0,411.0
Gazipur,2020-21,101.0,24.4
Gopalganj,2020-21,84.0,50.0
Kishoreganj,2020-21,0.0,28.91
Madaripur,2020-21,8148.0,1494.12
Manikganj,2020-21,401.0,675.6
Munshiganj,2020-21,469.0,104.0
Narayanganj,2020-21,65.0,43.23
Narsingdi,2020-21,0.0,21.0
Rajbari,2020-21,281.0,150.0
Shariatpur,2020-21,613.0,154.0
Tangail,2020-21,1354.0,535.15
Dhaka Division,2020-21,50839.0,9066.36
Bagerhat,2020-21,0.0,0.0
Chuadanga,2020-21,2420.0,218.5
Jessore,2020-21,57.0,79.5
Jhenaidah,2020-21,1819.0,228.0
Khulna,2020-21,120.0,58.0
Kushtia,2020-21,520.0,48.0
Magura,2020-21,423.0,38.92
Meherpur,2020-21,2273.97,362.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,0.0,0.0
Khulna Division,2020-21,7632.97,1032.92
Jamalpur,2020-21,216.0,93.0
Mymensinghh,2020-21,43.0,23.0
Netrokona,2020-21,0.0,70.0
Sherpur,2020-21,0.0,32.0
Mymensinghh Division,2020-21,259.0,218.0
Bogura,2020-21,450.0,163.0
Joypurhat,2020-21,17.0,168.0
Naogaon,2020-21,20.0,182.0
Natore,2020-21,0.0,0.0
Chapai Nawabganj,2020-21,116.0,52.0
Pabna,2020-21,66878.0,8998.0
Rajshahi,2020-21,0.0,64.0
Sirajganj,2020-21,104255.0,20017.0
Rajshahi Division,2020-21,171736.0,29644.0
Dinajpur,2020-21,258.0,148.0
Gaibandha,2020-21,147.0,45.0
Kurigram,2020-21,0.0,23.4
Lalmonirhat,2020-21,0.0,8.0
Nilphamari,2020-21,115.0,60.94
Panchagarh,2020-21,232.0,52.25
Rangpur,2020-21,413.0,124.0
Thakurgaon,2020-21,0.0,16.96
Rangpur Divison,2020-21,1165.0,478.55
Habiganj,2020-21,0.0,0.0
Maulvibazar,2020-21,0.0,10.0
Sunamganj,2020-21,0.0,15.0
Sylhet,2020-21,0.0,0.0
Sylhet Division,2020-21,0.0,25.0
Bhola,2022-23,0.0,110.0
Jhalokathi,2022-23,0.0,0.0
Patuakhali,2022-23,0.0,0.0
Pirojpur,2022-23,0.0,0.0
Bandarban,2022-23,0.0,0.0
Brahmanbaria,2022-23,124.5,194.0
Chandpur,2022-23,0.0,0.0
Chattogram,2022-23,452.0,378.18
Cumilla,2022-23,0.0,197.5
Cox’s Bazar,2022-23,0.0,23.73
Feni,2022-23,0.0,0.0
Khagrachhari,2022-23,0.0,0.0
Lakshmipur,2022-23,7.48,48.13
Noakhali,2022-23,19.88,6.32
Rangamati,2022-23,0.0,0.0
Dhaka,2022-23,41787.27,1929.83
Faridpur,2022-23,588.0,673.0
Gazipur,2022-23,100.93,25.0
Gopalganj,2022-23,76.63,45.6
Kishoreganj,2022-23,11.85,45.84
Madaripur,2022-23,7882.26,1522.04
Manikganj,2022-23,828.34,837.1
Munshiganj,2022-23,496.95,110.51
Narayanganj,2022-23,63.32,48.84
Narsingdi,2022-23,26.8,32.5
Rajbari,2022-23,312.0,289.0
Shariatpur,2022-23,737.0,168.0
Tangail,2022-23,1349.0,588.87
Bagerhat,2022-23,0.0,0.0
Chuadanga,2022-23,504.1,286.2
Jessore,2022-23,80.0,85.0
Jhenaidah,2022-23,2370.65,248.85
Khulna,2022-23,299.7,245.9
Kushtia,2022-23,513.0,301.0
Magura,2022-23,458.28,67.45
Meherpur,2022-23,2653.08,399.0
Narail,2022-23,0.0,0.0
Satkhira,2022-23,0.0,0.0
Jamalpur,2022-23,234.0,121.0
Mymensinghh,2022-23,42.0,59.0
Netrokona,2022-23,125.0,57.0
Sherpur,2022-23,189.0,33.0
Bogura,2022-23,453.0,306.0
Joypurhat,2022-23,1361.0,213.0
Naogaon,2022-23,42.0,238.0
Natore,2022-23,0.0,113.0
Chapai Nawabganj,2022-23,113.0,88.0
Pabna,2022-23,67236.0,10446.0
Rajshahi,2022-23,0.0,115.0
Sirajganj,2022-23,107486.0,20923.0
Dinajpur,2022-23,461.0,190.0
Gaibandha,2022-23,158.4,98.0
Kurigram,2022-23,0.0,22.0
Lalmonirhat,2022-23,0.0,8.5
Nilphamari,2022-23,218.0,69.0
Panchagarh,2022-23,320.0,65.0
Rangpur,2022-23,424.0,149.0
Thakurgaon,2022-23,0.0,91.0
Habiganj,2022-23,0.0,35.2
Maulvibazar,2022-23,0.0,92.41
Sunamganj,2022-23,44.0,17.0
Sylhet,2022-23,0.0,0.0
