District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,63.0
Jhalokathi,2018-19,0.0,255.0
Patuakhali,2018-19,0.0,48.0
Pirojpur,2018-19,0.0,491.0
Barishal Division,2018-19,0.0,1214.0
Bandarban,2018-19,0.0,23.0
Brahmanbaria,2018-19,0.0,40.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,0.0,74.0
Cumilla,2018-19,0.0,3.24
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,0.0,0.0
Khagrachhari,2018-19,0.0,15.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,0.0
Rangamati,2018-19,0.0,11.0
Chattogram Division,2018-19,0.0,166.24
Dhaka,2018-19,0.0,34.0
Faridpur,2018-19,0.0,115.0
Gazipur,2018-19,0.0,71.0
Gopalganj,2018-19,0.0,15.0
Kishoreganj,2018-19,0.0,36.0
Madaripur,2018-19,0.0,34.0
Manikganj,2018-19,0.0,34.0
Munshiganj,2018-19,0.0,16.0
Narayanganj,2018-19,0.0,16.5
Narsingdi,2018-19,0.0,67.0
Rajbari,2018-19,0.0,29.0
Shariatpur,2018-19,0.0,0.0
Tangail,2018-19,0.0,26.0
Dhaka Division,2018-19,0.0,493.5
Bagerhat,2018-19,0.0,556.0
Chuadanga,2018-19,0.0,35.0
Jessore,2018-19,0.0,0.0
Jhenaidah,2018-19,0.0,117.0
Khulna,2018-19,0.0,467.0
Kushtia,2018-19,0.0,0.0
Magura,2018-19,0.0,0.0
Meherpur,2018-19,0.0,0.0
Narail,2018-19,0.0,0.0
Satkhira,2018-19,0.0,104.0
Khulna Division,2018-19,0.0,1279.0
Jamalpur,2018-19,0.0,37.0
Mymensinghh,2018-19,0.0,8.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,0.0,0.0
Mymensinghh Division,2018-19,0.0,45.0
Bogura,2018-19,0.0,0.0
Joypurhat,2018-19,0.0,0.0
Naogaon,2018-19,0.0,0.0
Natore,2018-19,0.0,0.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,0.0,0.0
Rajshahi,2018-19,0.0,0.0
Sirajganj,2018-19,0.0,0.0
Rajshahi Division,2018-19,0.0,0.0
Dinajpur,2018-19,0.0,15.0
Gaibandha,2018-19,0.0,0.0
Kurigram,2018-19,0.0,0.0
Lalmonirhat,2018-19,0.0,0.0
Nilphamari,2018-19,0.0,0.0
Panchagarh,2018-19,0.0,21.0
Rangpur,2018-19,0.0,0.0
Thakurgaon,2018-19,0.0,43.0
Rangpur Divison,2018-19,0.0,79.0
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,0.0,34.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,0.0,34.0
Bhola,2020-21,212.0,80.0
Jhalokathi,2020-21,933.0,330.0
Patuakhali,2020-21,150.0,69.0
Pirojpur,2020-21,1450.0,455.0
Barishal Division,2020-21,3930.0,1432.0
Bandarban,2020-21,21.85,23.79
Brahmanbaria,2020-21,63.0,31.1
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,131.0,93.08
Cumilla,2020-21,14.0,3.03
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,0.0,0.0
Khagrachhari,2020-21,24.75,7.0
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,0.0,0.0
Rangamati,2020-21,10.0,8.07
Chattogram Division,2020-21,264.6,166.07
Dhaka,2020-21,50.0,43.5
Faridpur,2020-21,207.0,110.8
Gazipur,2020-21,274.0,61.82
Gopalganj,2020-21,25.0,17.9
Kishoreganj,2020-21,96.0,29.43
Madaripur,2020-21,152.0,19.0
Manikganj,2020-21,152.0,0.0
Munshiganj,2020-21,23.0,20.1
Narayanganj,2020-21,18.35,42.2
Narsingdi,2020-21,102.0,61.21
Rajbari,2020-21,93.0,28.0
Shariatpur,2020-21,0.0,0.0
Tangail,2020-21,60.0,27.07
Dhaka Division,2020-21,1252.35,461.03
Bagerhat,2020-21,1309.0,603.1
Chuadanga,2020-21,158.0,30.0
Jessore,2020-21,0.0,0.0
Jhenaidah,2020-21,344.0,132.0
Khulna,2020-21,1027.0,465.35
Kushtia,2020-21,0.0,0.0
Magura,2020-21,0.0,0.0
Meherpur,2020-21,0.0,0.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,159.0,71.45
Khulna Division,2020-21,2997.0,1301.9
Jamalpur,2020-21,88.0,32.0
Mymensinghh,2020-21,12.0,0.0
Netrokona,2020-21,0.0,0.0
Sherpur,2020-21,0.0,0.0
Mymensinghh Division,2020-21,100.0,32.0
Bogura,2020-21,0.0,0.0
Joypurhat,2020-21,0.0,0.0
Naogaon,2020-21,0.0,0.0
Natore,2020-21,0.0,0.0
Chapai Nawabganj,2020-21,0.0,0.0
Pabna,2020-21,0.0,0.0
Rajshahi,2020-21,0.0,0.0
Sirajganj,2020-21,0.0,0.0
Rajshahi Division,2020-21,0.0,0.0
Dinajpur,2020-21,16.0,10.25
Gaibandha,2020-21,0.0,0.0
Kurigram,2020-21,0.0,0.0
Lalmonirhat,2020-21,0.0,0.0
Nilphamari,2020-21,0.0,0.0
Panchagarh,2020-21,29.0,36.0
Rangpur,2020-21,0.0,0.0
Thakurgaon,2020-21,215.0,33.0
Rangpur Divison,2020-21,260.0,79.25
Habiganj,2020-21,0.0,0.0
Maulvibazar,2020-21,141.0,0.0
Sunamganj,2020-21,0.0,0.0
Sylhet,2020-21,0.0,6.6
Sylhet Division,2020-21,141.0,6.6
Bhola,2022-23,235.0,89.0
Jhalokathi,2022-23,1313.0,334.0
Patuakhali,2022-23,126.0,91.0
Pirojpur,2022-23,1261.0,470.0
Bandarban,2022-23,22.6,22.4
Brahmanbaria,2022-23,51.8,21.85
Chandpur,2022-23,0.0,0.0
Chattogram,2022-23,246.43,76.53
Cumilla,2022-23,3.05,4.76
Cox’s Bazar,2022-23,0.0,0.0
Feni,2022-23,0.0,0.0
Khagrachhari,2022-23,7.46,6.5
Lakshmipur,2022-23,0.0,0.0
Noakhali,2022-23,0.0,7.9
Rangamati,2022-23,7.03,5.76
Dhaka,2022-23,193.57,43.8
Faridpur,2022-23,195.5,103.01
Gazipur,2022-23,262.84,61.1
Gopalganj,2022-23,29.45,0.0
Kishoreganj,2022-23,63.03,26.36
Madaripur,2022-23,58.01,25.0
Manikganj,2022-23,0.0,0.0
Munshiganj,2022-23,36.93,20.02
Narayanganj,2022-23,112.31,40.5
Narsingdi,2022-23,96.62,50.7
Rajbari,2022-23,103.0,33.0
Shariatpur,2022-23,0.0,0.0
Tangail,2022-23,54.86,28.1
Bagerhat,2022-23,1470.58,541.4
Chuadanga,2022-23,137.7,25.0
Jessore,2022-23,0.0,82.0
Jhenaidah,2022-23,410.6,145.0
Khulna,2022-23,1024.29,384.49
Kushtia,2022-23,0.0,0.0
Magura,2022-23,0.0,0.0
Meherpur,2022-23,0.0,0.0
Narail,2022-23,0.0,0.0
Satkhira,2022-23,305.63,71.57
Jamalpur,2022-23,62.0,33.0
Mymensinghh,2022-23,0.0,12.0
Netrokona,2022-23,0.0,0.0
Sherpur,2022-23,0.0,0.0
Bogura,2022-23,0.0,0.0
Joypurhat,2022-23,0.0,0.4
Naogaon,2022-23,0.0,11.5
Natore,2022-23,0.0,0.0
Chapai Nawabganj,2022-23,0.0,0.0
Pabna,2022-23,0.0,0.0
Rajshahi,2022-23,0.0,0.0
Sirajganj,2022-23,0.0,0.0
Dinajpur,2022-23,21.41,10.0
Gaibandha,2022-23,0.0,0.0
Kurigram,2022-23,0.0,0.0
Lalmonirhat,2022-23,0.0,0.0
Nilphamari,2022-23,0.0,0.0
Panchagarh,2022-23,65.39,32.0
Rangpur,2022-23,0.0,0.0
Thakurgaon,2022-23,156.95,18.0
Habiganj,2022-23,0.0,0.0
Maulvibazar,2022-23,0.0,28.04
Sunamganj,2022-23,0.0,0.0
Sylhet,2022-23,16.0,10.0
