District,Year,Hectares,Production_MT
Barguna,2020-21,0.0,0.0
Barguna,2021-22,0.0,0.0
Barishal,2020-21,0.0,0.0
Barishal,2021-22,0.0,0.0
Bhola,2020-21,0.0,0.0
Bhola,2021-22,0.0,0.0
Jhallokati,2020-21,0.0,0.0
Jhallokati,2021-22,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Patuakhali,2021-22,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Pirojpur,2021-22,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Barishal Division,2021-22,0.0,0.0
Bandarban,2020-21,0.0,0.0
Bandarban,2021-22,0.0,0.0
Brahmanbaria,2020-21,0.6,0.0
Brahmanbaria,2021-22,0.0,2.13
Chandpur,2020-21,0.0,0.0
Chandpur,2021-22,0.0,0.0
Chattogram,2020-21,0.0,0.0
Chattogram,2021-22,0.0,0.0
Cumilla,2020-21,0.36,0.0
Cumilla,2021-22,0.0,0.67
Cox’s Bazar,2020-21,0.0,0.0
Cox’s Bazar,2021-22,0.0,0.0
Feni,2020-21,0.0,0.0
Feni,2021-22,0.0,0.0
Khagrachari,2020-21,0.0,0.0
Khagrachari,2021-22,0.0,0.0
Lakshmipur,2020-21,0.0,0.0
Lakshmipur,2021-22,0.0,0.0
Noakhali,2020-21,0.0,0.0
Noakhali,2021-22,0.0,0.0
Rangamati,2020-21,8.13,0.77
Rangamati,2021-22,0.0,4.12
"Chattogram
Division",2020-21,9.09,0.77
"Chattogram
Division",2021-22,0.0,6.92
Dhaka,2020-21,0.0,0.0
Dhaka,2021-22,0.0,0.0
Faridpur,2020-21,0.0,0.0
Faridpur,2021-22,0.0,1.96
Gazipur,2020-21,0.0,0.0
Gazipur,2021-22,0.0,0.0
Gopalganj,2020-21,0.0,0.0
Gopalganj,2021-22,0.0,0.0
Kishoreganj,2020-21,0.0,0.0
Kishoreganj,2021-22,0.0,0.0
Madaripur,2020-21,0.0,0.0
Madaripur,2021-22,0.0,0.0
Manikganj,2020-21,0.0,0.0
Manikganj,2021-22,0.0,0.0
Munshiganj,2020-21,0.0,0.0
Munshiganj,2021-22,0.0,0.0
Narayanganj,2020-21,0.0,0.0
Narayanganj,2021-22,0.0,0.0
Narsingdi,2020-21,0.0,0.0
Narsingdi,2021-22,0.0,0.0
Rajbari,2020-21,0.0,0.0
Rajbari,2021-22,0.0,0.0
Shariatpur,2020-21,0.0,0.0
Shariatpur,2021-22,0.0,0.0
Tangail,2020-21,0.0,0.0
Tangail,2021-22,0.0,0.0
Dhaka Division,2020-21,0.0,0.0
Dhaka Division,2021-22,0.0,2.44
Bagerhat,2020-21,0.0,0.0
Bagerhat,2021-22,0.0,0.0
Chuadanga,2020-21,0.0,0.0
Chuadanga,2021-22,0.0,0.0
Jashore,2020-21,2.2,0.0
Jashore,2021-22,0.0,5.62
Jhenaidah,2020-21,0.0,0.0
Jhenaidah,2021-22,0.0,0.0
Khulna,2020-21,0.0,0.0
Khulna,2021-22,0.0,0.0
Kushtia,2020-21,0.0,0.0
Kushtia,2021-22,0.0,0.0
Magura,2020-21,0.0,0.0
Magura,2021-22,0.0,0.0
Meherpur,2020-21,0.0,0.0
Meherpur,2021-22,0.0,0.0
Narail,2020-21,0.0,0.0
