District,Year,Hectares,Production_MT
Bhola,2018-19,132.0,83.0
Jhallokati,2018-19,87.0,228.0
Patuakhali,2018-19,367.0,1234.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,1000.0,2537.0
Bandarban,2018-19,3.0,8.0
Brahmanbaria,2018-19,0.0,0.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,25.0,26.0
Cumilla,2018-19,0.0,0.0
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,25.0,37.0
Khagrachari,2018-19,0.0,0.0
Lakshmipur,2018-19,4.0,14.0
Noakhali,2018-19,109.0,74.0
Rangamati,2018-19,0.0,0.0
Chattogram Division,2018-19,166.0,159.0
Dhaka,2018-19,2.0,6.0
Faridpur,2018-19,119.0,218.0
Gazipur,2018-19,19.0,48.0
Gopalganj,2018-19,38.0,0.0
Kishoreganj,2018-19,2.0,8.0
Madaripur,2018-19,453.0,1118.0
Manikganj,2018-19,1.0,4.0
Munshiganj,2018-19,0.0,0.0
Narayanganj,2018-19,9.0,0.0
Narsingdi,2018-19,1.0,5.0
Rajbari,2018-19,28.0,57.0
Shariatpur,2018-19,171.0,291.0
Tangail,2018-19,1.0,3.0
Dhaka Division,2018-19,844.0,1758.0
Bagerhat,2018-19,3.0,8.0
Chuadanga,2018-19,39.0,134.0
Jashore,2018-19,115.0,248.0
Jhenaidah,2018-19,37.0,89.0
Khulna,2018-19,1.0,4.0
Kushtia,2018-19,73.0,160.0
Magura,2018-19,116.0,267.0
Meherpur,2018-19,7.0,15.0
Narail,2018-19,150.0,38.0
Satkhira,2018-19,1.0,2.0
Khulna Division,2018-19,542.0,956.0
Jamalpur,2018-19,29.0,88.0
Mymensingh,2018-19,24.0,57.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,18.0,60.0
Mymensingh Division,2018-19,71.0,205.0
Bogura,2018-19,11.0,10.0
Joypurhat,2018-19,0.0,18.0
Naogaon,2018-19,86.0,208.0
Natore,2018-19,21.0,71.0
Chapai Nawabganj,2018-19,412.0,1786.0
Pabna,2018-19,100.0,155.0
Rajshahi,2018-19,1502.0,3088.0
Sirajganj,2018-19,29.0,45.0
Rajshahi Division,2018-19,2161.0,5381.0
Dinajpur,2018-19,4.0,9.0
Gaibandha,2018-19,16.0,30.0
Kurigram,2018-19,95.0,242.0
Lalmonirhat,2018-19,6.0,11.0
Nilphamari,2018-19,0.0,0.0
Panchagar,2018-19,11.0,44.0
Rangpur,2018-19,12.0,25.0
Tahkurgaon,2018-19,32.0,80.0
Rangpur Division,2018-19,176.0,441.0
Habigonj,2018-19,0.0,0.0
Moulvibazar,2018-19,4.0,1.75
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,4.0,1.75
Bhola,2020-21,52.0,81.0
Jhallokati,2020-21,86.0,270.0
Patuakhali,2020-21,525.0,1248.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,1068.0,2491.0
Bandarban,2020-21,4.0,7.0
Brahmanbaria,2020-21,0.0,0.0
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,8.0,27.0
Cumilla,2020-21,0.0,0.0
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,17.0,40.0
Khagrachari,2020-21,0.0,0.0
Lakshmipur,2020-21,4.0,13.0
Noakhali,2020-21,26.0,9.0
