District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,0.0
Jhallokati,2018-19,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Bandarban,2018-19,0.0,215.0
Brahmanbaria,2018-19,0.0,24.0
Chandpur,2018-19,0.0,3.0
Chattogram,2018-19,0.0,1116.0
Cumilla,2018-19,0.0,34.0
Cox’s Bazar,2018-19,0.0,309.0
Feni,2018-19,0.0,59.0
Khagrachari,2018-19,0.0,3180.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,24.0
Rangamati,2018-19,0.0,454.0
Chattogram Division,2018-19,0.0,5418.0
Dhaka,2018-19,0.0,0.0
Faridpur,2018-19,0.0,187.0
Gazipur,2018-19,0.0,78.0
Gopalganj,2018-19,0.0,17.0
Kishoreganj,2018-19,0.0,148.0
Madaripur,2018-19,0.0,0.0
Manikganj,2018-19,0.0,9.0
Munshiganj,2018-19,0.0,24.0
Narayanganj,2018-19,0.0,54.0
Narsingdi,2018-19,0.0,8.0
Rajbari,2018-19,0.0,0.0
Shariatpur,2018-19,0.0,0.0
Tangail,2018-19,0.0,1206.0
Dhaka Division,2018-19,0.0,1731.0
Bagerhat,2018-19,0.0,22.0
Chuadanga,2018-19,0.0,69.0
Jashore,2018-19,0.0,76.0
Jhenaidah,2018-19,0.0,77.0
Khulna,2018-19,0.0,106.0
Kushtia,2018-19,0.0,0.0
Magura,2018-19,0.0,11.0
Meherpur,2018-19,0.0,0.0
Narail,2018-19,0.0,0.0
Satkhira,2018-19,0.0,113.0
Khulna Division,2018-19,0.0,474.0
Jamalpur,2018-19,0.0,77.0
Mymensingh,2018-19,0.0,287.0
Netrokona,2018-19,0.0,202.0
Sherpur,2018-19,0.0,62.0
Mymensingh Division,2018-19,0.0,628.0
Bogura,2018-19,0.0,63.0
Joypurhat,2018-19,0.0,164.0
Naogaon,2018-19,0.0,83.0
Natore,2018-19,0.0,64.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,0.0,226.0
Rajshahi,2018-19,0.0,45.0
Sirajganj,2018-19,0.0,76.0
Rajshahi Division,2018-19,0.0,721.0
Dinajpur,2018-19,0.0,136.0
Gaibandha,2018-19,0.0,56.0
Kurigram,2018-19,0.0,31.0
Lalmonirhat,2018-19,0.0,0.0
Nilphamari,2018-19,0.0,48.0
Panchagar,2018-19,0.0,75.0
Rangpur,2018-19,0.0,25.0
Thakurgaon,2018-19,0.0,33.0
Rangpur Divison,2018-19,0.0,404.0
Habiganj,2018-19,0.0,277.0
Moulvibazar,2018-19,0.0,183.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,115.0
Sylhet Division,2018-19,0.0,575.0
Bhola,2020-21,0.0,0.0
Jhallokati,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Bandarban,2020-21,346.0,217.0
Brahmanbaria,2020-21,149.0,22.6
Chandpur,2020-21,4.0,1.9
Chattogram,2020-21,3068.0,1045.52
Cumilla,2020-21,122.0,32.25
Cox’s Bazar,2020-21,846.0,236.25
Feni,2020-21,167.0,43.0
Khagrachari,2020-21,13215.0,3320.0
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,59.0,59.9
Rangamati,2020-21,1252.0,442.7
Chattogram Division,2020-21,19228.0,5421.12
Dhaka,2020-21,0.0,0.0
Faridpur,2020-21,835.0,186.0
Gazipur,2020-21,215.0,76.44
Gopalganj,2020-21,69.0,13.0
Kishoreganj,2020-21,466.0,79.15
Madaripur,2020-21,0.0,0.0
Manikganj,2020-21,23.0,8.0
Munshiganj,2020-21,18.0,0.0
Narayanganj,2020-21,163.0,58.5
Narsingdi,2020-21,30.0,8.81
Rajbari,2020-21,0.0,0.0
Shariatpur,2020-21,0.0,0.0
Tangail,2020-21,4671.0,777.85
Dhaka Division,2020-21,6490.0,1207.75
Bagerhat,2020-21,353.0,21.0
Chuadanga,2020-21,302.0,59.0
Jashore,2020-21,280.0,94.0
Jhenaidah,2020-21,290.0,75.0
Khulna,2020-21,354.0,51.0
Kushtia,2020-21,0.0,29.0
Magura,2020-21,37.0,11.0
Meherpur,2020-21,0.0,0.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,374.0,115.0
Khulna Division,2020-21,1990.0,455.0
Jamalpur,2020-21,192.0,62.0
Mymensingh,2020-21,873.0,304.0
Netrokona,2020-21,555.0,166.0
Sherpur,2020-21,437.0,120.0
Mymensingh Division,2020-21,2057.0,652.0
Bogura,2020-21,443.0,69.62
Joypurhat,2020-21,588.0,27.0
Naogaon,2020-21,299.0,65.4
Natore,2020-21,161.0,25.5
Chapai Nawabganj,2020-21,0.0,0.0
Pabna,2020-21,387.0,237.5
Rajshahi,2020-21,133.0,7.46
Sirajganj,2020-21,292.0,55.02
Rajshahi Division,2020-21,2303.0,487.5
Dinajpur,2020-21,424.0,132.0
Gaibandha,2020-21,132.0,42.0
Kurigram,2020-21,99.0,166.0
Lalmonirhat,2020-21,0.0,0.0
Nilphamari,2020-21,224.0,44.0
Panchagar,2020-21,239.0,110.0
Rangpur,2020-21,56.0,43.0
Thakurgaon,2020-21,63.0,34.0
Rangpur Divison,2020-21,1237.0,571.0
Habiganj,2020-21,568.0,234.18
