District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,0.0
Jhalokathi,2018-19,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Bandarban,2018-19,1870.0,10037.0
Brahmanbaria,2018-19,0.0,0.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,0.0,23.0
Cumilla,2018-19,0.0,0.0
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,0.0,23.0
Khagrachhari,2018-19,455.0,0.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,0.0
Rangamati,2018-19,962.0,1838.0
Chattogram Division,2018-19,3287.0,0.0
Dhaka,2018-19,56.0,0.0
Faridpur,2018-19,0.0,5306.0
Gazipur,2018-19,200.0,17204.0
Gopalganj,2018-19,0.0,47.0
Kishoreganj,2018-19,0.0,0.0
Madaripur,2018-19,0.0,137.0
Manikganj,2018-19,0.0,0.0
Munshiganj,2018-19,0.0,0.0
Narayanganj,2018-19,0.0,0.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,567.0,230.0
Shariatpur,2018-19,0.0,0.0
Tangail,2018-19,554.0,554.0
Dhaka Division,2018-19,1377.0,968.0
Bagerhat,2018-19,0.0,0.0
Chuadanga,2018-19,1011.0,688.0
Jessore,2018-19,5906.0,2426.0
Jhenaidah,2018-19,10863.0,4815.0
Khulna,2018-19,0.0,0.0
Kushtia,2018-19,3623.0,1988.0
Magura,2018-19,260.0,211.0
Meherpur,2018-19,2625.0,1120.0
Narail,2018-19,0.0,0.0
Satkhira,2018-19,0.0,0.0
Khulna,2018-19,24288.0,11248.0
Jamalpur,2018-19,0.0,0.0
Mymensinghh,2018-19,0.0,0.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,25.0,0.0
Mymensinghh Division,2018-19,25.0,0.0
Bogura,2018-19,2.0,7.0
Joypurhat,2018-19,0.0,0.0
Naogaon,2018-19,0.0,0.0
Natore,2018-19,0.0,0.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,0.0,0.0
Rajshahi,2018-19,457.0,115.0
Sirajganj,2018-19,0.0,0.0
Rajshahi Division,2018-19,459.0,122.0
Dinajpur,2018-19,215.0,203.0
Gaibandha,2018-19,610.0,221.0
Kurigram,2018-19,0.0,0.0
Lalmonirhat,2018-19,22.0,25.0
Nilphamari,2018-19,0.0,0.0
Panchagarh,2018-19,0.0,0.0
Rangpur,2018-19,507.0,486.0
Thakurgaon,2018-19,0.0,0.0
Rangpur Divison,2018-19,1354.0,935.0
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,0.0,0.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,0.0,0.0
Bhola,2018-19,0.0,0.0
Jhalokathi,2018-19,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Bandarban,2018-19,0.0,0.0
Brahmanbaria,2018-19,0.0,0.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,0.0,23.0
Cumilla,2018-19,0.0,0.0
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,0.0,0.0
Khagrachhari,2018-19,0.0,7.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,0.0
Rangamati,2018-19,0.0,22.0
Chattogram Division,2018-19,0.0,52.0
Dhaka,2018-19,0.0,47.0
Faridpur,2018-19,0.0,0.0
Gazipur,2018-19,0.0,137.0
Gopalganj,2018-19,0.0,0.0
Kishoreganj,2018-19,0.0,0.0
Madaripur,2018-19,0.0,0.0
Manikganj,2018-19,0.0,0.0
Munshiganj,2018-19,0.0,0.0
Narayanganj,2018-19,0.0,0.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,0.0,230.0
Shariatpur,2018-19,0.0,0.0
Tangail,2018-19,0.0,554.0
Dhaka Division,2018-19,0.0,968.0
Bagerhat,2018-19,0.0,0.0
Chuadanga,2018-19,0.0,688.0
Jessore,2018-19,0.0,2426.0
Jhenaidah,2018-19,0.0,4637.0
Khulna,2018-19,0.0,0.0
Kushtia,2018-19,0.0,1988.0
Magura,2018-19,0.0,211.0
Meherpur,2018-19,0.0,1120.0
Narail,2018-19,0.0,0.0
Satkhira,2018-19,0.0,0.0
Khulna,2018-19,0.0,11070.0
Jamalpur,2018-19,0.0,0.0
Mymensinghh,2018-19,0.0,0.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,0.0,0.0
Mymensinghh Division,2018-19,0.0,0.0
Bogura,2018-19,0.0,7.0
Joypurhat,2018-19,0.0,0.0
Naogaon,2018-19,0.0,0.0
Natore,2018-19,0.0,0.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,0.0,0.0
Rajshahi,2018-19,0.0,115.0
Sirajganj,2018-19,0.0,0.0
Rajshahi Division,2018-19,0.0,122.0
Dinajpur,2018-19,0.0,195.0
Gaibandha,2018-19,0.0,221.0
Kurigram,2018-19,0.0,0.0
Lalmonirhat,2018-19,0.0,25.0
Nilphamari,2018-19,0.0,0.0
Panchagarh,2018-19,0.0,0.0
Rangpur,2018-19,0.0,486.0
Thakurgaon,2018-19,0.0,0.0
Rangpur Divison,2018-19,0.0,927.0
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,0.0,0.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,0.0,0.0
Bhola,2020-21,0.0,0.0
Jhalokathi,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Bandarban,2020-21,834.0,10042.0
Brahmanbaria,2020-21,0.0,0.0
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,135.0,0.0
Cumilla,2020-21,0.0,0.0
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,135.0,0.0
Khagrachhari,2020-21,0.0,2237.34
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,0.0,0.0
Rangamati,2020-21,137.0,4992.0
Chattogram Division,2020-21,0.0,17271.34
Dhaka,2020-21,0.0,0.0
Faridpur,2020-21,0.0,0.0
Gazipur,2020-21,159771.0,140.13
Gopalganj,2020-21,84.08,0.0
Kishoreganj,2020-21,0.0,0.0
Madaripur,2020-21,662.0,0.0
Manikganj,2020-21,0.0,0.0
Munshiganj,2020-21,0.0,0.0
Narayanganj,2020-21,0.0,0.0
Narsingdi,2020-21,0.0,0.0
Rajbari,2020-21,1737.59,235.0
Shariatpur,2020-21,0.0,0.0
Tangail,2020-21,1311.59,525.7
Dhaka Division,2020-21,3795.24,900.83
Bagerhat,2020-21,0.0,0.0
Chuadanga,2020-21,2421.39,662.0
Jessore,2020-21,22489.0,2367.0
Jhenaidah,2020-21,39262.0,4737.0
Khulna,2020-21,0.0,0.0
Kushtia,2020-21,13618.0,2001.0
Magura,2020-21,1331.0,158.0
Meherpur,2020-21,8546.0,1177.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,0.0,0.0
Khulna,2020-21,87667.39,11102.0
Jamalpur,2020-21,0.0,0.0
Mymensinghh,2020-21,0.0,0.0
Netrokona,2020-21,0.0,0.0
Sherpur,2020-21,0.0,0.0
Mymensinghh Division,2020-21,0.0,0.0
Bogura,2020-21,11.21,0.0
Joypurhat,2020-21,0.0,0.0
Naogaon,2020-21,0.0,0.0
Natore,2020-21,0.0,0.0
Chapai Nawabganj,2020-21,0.0,0.0
Pabna,2020-21,0.0,0.0
Rajshahi,2020-21,655.79,113.0
Sirajganj,2020-21,0.0,0.0
Rajshahi Division,2020-21,667.0,113.0
Dinajpur,2020-21,1225.91,195.0
Gaibandha,2020-21,1221.91,191.2
Kurigram,2020-21,0.0,0.0
Lalmonirhat,2020-21,78.47,25.0
Nilphamari,2020-21,0.0,0.0
Panchagarh,2020-21,0.0,0.0
Rangpur,2020-21,1737.57,481.0
Thakurgaon,2020-21,0.0,0.0
Rangpur Divison,2020-21,4123.73,892.2
Habiganj,2020-21,0.0,0.0
Maulvibazar,2020-21,0.0,0.0
Sunamganj,2020-21,0.0,0.0
Sylhet,2020-21,0.0,0.0
Sylhet Division,2020-21,0.0,0.0
Bhola,2020-21,0.0,0.0
Jhalokathi,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Bandarban,2020-21,0.0,0.0
Brahmanbaria,2020-21,0.0,0.0
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,135.0,0.0
Cumilla,2020-21,0.0,0.0
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,0.0,0.0
Khagrachhari,2020-21,24.0,11.0
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,0.0,0.0
Rangamati,2020-21,117.71,75.0
Chattogram Division,2020-21,276.71,86.0
Dhaka,2020-21,84.08,0.0
Faridpur,2020-21,0.0,0.0
Gazipur,2020-21,662.0,140.13
Gopalganj,2020-21,0.0,0.0
Kishoreganj,2020-21,0.0,0.0
Madaripur,2020-21,0.0,0.0
Manikganj,2020-21,0.0,0.0
Munshiganj,2020-21,0.0,0.0
Narayanganj,2020-21,0.0,0.0
Narsingdi,2020-21,0.0,0.0
Rajbari,2020-21,1737.57,235.0
Shariatpur,2020-21,0.0,0.0
Tangail,2020-21,1311.59,401.2
Dhaka Division,2020-21,3795.24,776.33
Bagerhat,2020-21,0.0,0.0
Chuadanga,2020-21,2421.39,662.0
Jessore,2020-21,22489.0,2367.0
Jhenaidah,2020-21,39090.0,4573.0
Khulna,2020-21,0.0,0.0
Kushtia,2020-21,13618.0,2001.0
Magura,2020-21,1331.0,158.0
Meherpur,2020-21,8546.0,1177.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,0.0,0.0
Khulna,2020-21,87495.39,10938.0
Jamalpur,2020-21,0.0,0.0
Mymensinghh,2020-21,0.0,0.0
Netrokona,2020-21,0.0,0.0
Sherpur,2020-21,0.0,0.0
Mymensinghh Division,2020-21,0.0,0.0
Bogura,2020-21,11.21,0.0
Joypurhat,2020-21,0.0,0.0
Naogaon,2020-21,0.0,0.0
Natore,2020-21,0.0,0.0
Chapai Nawabganj,2020-21,0.0,0.0
Pabna,2020-21,0.0,0.0
Rajshahi,2020-21,655.79,113.0
Sirajganj,2020-21,0.0,0.0
Rajshahi Division,2020-21,667.0,113.0
Dinajpur,2020-21,1081.78,189.0
Gaibandha,2020-21,1221.91,191.2
Kurigram,2020-21,0.0,0.0
Lalmonirhat,2020-21,78.47,25.0
Nilphamari,2020-21,0.0,0.0
Panchagarh,2020-21,0.0,0.0
Rangpur,2020-21,1737.57,481.0
Thakurgaon,2020-21,0.0,0.0
Rangpur Divison,2020-21,4119.73,886.2
Habiganj,2020-21,0.0,0.0
Maulvibazar,2020-21,0.0,0.0
Sunamganj,2020-21,0.0,0.0
Sylhet,2020-21,0.0,0.0
Sylhet Division,2020-21,0.0,0.0
Bhola,2022-23,0.0,0.0
Jhalokathi,2022-23,0.0,0.0
Patuakhali,2022-23,0.0,0.0
Pirojpur,2022-23,0.0,0.0
Bandarban,2022-23,837.0,10062.0
Brahmanbaria,2022-23,0.0,0.0
Chandpur,2022-23,0.0,0.0
Chattogram,2022-23,0.0,0.0
