District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,0.0
Jhalokathi,2018-19,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Bandarban,2018-19,17.0,63.0
Brahmanbaria,2018-19,1.0,0.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,19.0,36.75
Cumilla,2018-19,1.0,2.34
Cox’s Bazar,2018-19,0.0,1.0
Feni,2018-19,10.0,11.3
Khagrachhari,2018-19,0.0,4.5
Lakshmipur,2018-19,6.0,15.0
Noakhali,2018-19,14.0,43.0
Rangamati,2018-19,92.0,156.3
Chattogram Division,2018-19,160.0,333.19
Dhaka,2018-19,0.0,0.0
Faridpur,2018-19,3.0,5.0
Gazipur,2018-19,1.0,2.17
Gopalganj,2018-19,0.0,0.0
Kishoreganj,2018-19,0.0,0.0
Madaripur,2018-19,0.0,0.0
Manikganj,2018-19,0.0,0.0
Munshiganj,2018-19,4.0,14.0
Narayanganj,2018-19,0.0,0.0
Narsingdi,2018-19,8.0,1.0
Rajbari,2018-19,7.0,33.0
Shariatpur,2018-19,0.0,0.0
Tangail,2018-19,1.0,4.39
Dhaka Division,2018-19,24.0,59.56
Bagerhat,2018-19,0.0,0.0
Chuadanga,2018-19,7.0,25.0
Jessore,2018-19,4.0,11.0
Jhenaidah,2018-19,0.0,0.0
Khulna,2018-19,5.0,10.0
Kushtia,2018-19,31.0,88.0
Magura,2018-19,5.0,12.25
Meherpur,2018-19,7.0,15.0
Narail,2018-19,0.0,0.0
Satkhira,2018-19,0.0,0.0
Khulna,2018-19,59.0,161.25
Jamalpur,2018-19,4.0,8.0
Mymensinghh,2018-19,0.0,0.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,0.0,9.0
Mymensinghh Division,2018-19,4.0,17.0
Bogura,2018-19,3.0,9.1
Joypurhat,2018-19,12.0,35.0
Naogaon,2018-19,59.0,142.0
Natore,2018-19,3.0,14.0
Chapai Nawabganj,2018-19,33.0,50.0
Pabna,2018-19,6.0,6.0
Rajshahi,2018-19,15.0,8.0
Sirajganj,2018-19,0.0,0.0
Rajshahi Division,2018-19,131.0,264.1
Dinajpur,2018-19,5.0,18.0
Gaibandha,2018-19,32.0,49.0
Kurigram,2018-19,17.0,57.0
Lalmonirhat,2018-19,0.0,7.0
Nilphamari,2018-19,0.0,0.0
Panchagarh,2018-19,0.0,0.0
Rangpur,2018-19,15.0,82.0
Thakurgaon,2018-19,12.0,36.0
Rangpur,2018-19,81.0,249.0
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,6.0,20.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,6.0,20.0
Bhola,2020-21,0.0,0.0
Jhalokathi,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Bandarban,2020-21,16.94,64.1
Brahmanbaria,2020-21,0.0,0.0
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,25.12,36.17
Cumilla,2020-21,0.9,2.5
Cox’s Bazar,2020-21,0.57,23.0
Feni,2020-21,3.15,11.76
Khagrachhari,2020-21,0.84,26.1
Lakshmipur,2020-21,5.7,16.5
Noakhali,2020-21,10.75,50.0
Rangamati,2020-21,84.73,150.62
Chattogram Division,2020-21,148.7,380.75
Dhaka,2020-21,0.0,0.0
Faridpur,2020-21,2.0,4.5
Gazipur,2020-21,0.92,2.15
Gopalganj,2020-21,0.0,0.0
Kishoreganj,2020-21,0.0,0.0
Madaripur,2020-21,0.0,0.0
Manikganj,2020-21,0.0,0.0
Munshiganj,2020-21,4.41,13.0
Narayanganj,2020-21,0.0,0.0
Narsingdi,2020-21,0.36,0.0
Rajbari,2020-21,8.0,28.0
Shariatpur,2020-21,0.0,0.0
Tangail,2020-21,1.0,2.65
Dhaka Division,2020-21,16.69,50.3
Bagerhat,2020-21,0.0,0.0
Chuadanga,2020-21,7.0,24.25
Jessore,2020-21,3.0,8.24
Jhenaidah,2020-21,0.0,0.0
Khulna,2020-21,3.8,0.0
Kushtia,2020-21,39.0,84.0
Magura,2020-21,4.1,12.25
Meherpur,2020-21,6.04,18.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,0.0,0.0
Khulna,2020-21,62.94,146.74
Jamalpur,2020-21,3.0,6.0
Mymensinghh,2020-21,0.0,0.0
Netrokona,2020-21,0.0,0.0
Sherpur,2020-21,3.0,9.0
Mymensinghh Division,2020-21,6.0,15.0
Bogura,2020-21,3.54,1.0
Joypurhat,2020-21,11.0,12.85
Naogaon,2020-21,59.0,98.65
Natore,2020-21,3.0,11.67
Chapai Nawabganj,2020-21,19.0,54.0
Pabna,2020-21,5.0,8.0
Rajshahi,2020-21,3.0,5.0
Sirajganj,2020-21,0.0,0.0
Rajshahi Division,2020-21,103.54,191.17
Dinajpur,2020-21,5.0,12.0
Gaibandha,2020-21,28.0,52.5
Kurigram,2020-21,15.8,58.0
Lalmonirhat,2020-21,2.0,7.0
Nilphamari,2020-21,0.0,0.0
Panchagarh,2020-21,0.0,0.0
Rangpur,2020-21,50.0,85.0
Thakurgaon,2020-21,12.0,45.0
Rangpur,2020-21,112.8,259.5
Habiganj,2020-21,0.0,0.0
Maulvibazar,2020-21,8.0,28.0
Sunamganj,2020-21,0.0,0.0
Sylhet,2020-21,0.0,0.0
Sylhet Division,2020-21,8.0,28.0
Bhola,2022-23,0.0,0.0
Jhalokathi,2022-23,0.0,0.0
Patuakhali,2022-23,0.0,0.0
Pirojpur,2022-23,0.0,0.0
Bandarban,2022-23,17.2,65.1
Brahmanbaria,2022-23,0.0,0.0
Chandpur,2022-23,0.0,0.0
Chattogram,2022-23,24.28,34.14
Cumilla,2022-23,1.09,3.5
Cox’s Bazar,2022-23,5.2,12.2
Feni,2022-23,3.6,12.8
Khagrachhari,2022-23,8.0,26.0
Lakshmipur,2022-23,6.05,20.1
Noakhali,2022-23,17.5,67.0
Rangamati,2022-23,79.18,144.89
Dhaka,2022-23,0.0,0.0
Faridpur,2022-23,1.5,5.0
Gazipur,2022-23,0.91,1.98
Gopalganj,2022-23,0.0,0.0
Kishoreganj,2022-23,0.0,0.0
Madaripur,2022-23,0.0,0.0
Manikganj,2022-23,0.0,0.0
Munshiganj,2022-23,4.23,11.8
Narayanganj,2022-23,0.0,0.0
Narsingdi,2022-23,0.0,0.0
Rajbari,2022-23,10.5,35.0
Shariatpur,2022-23,0.0,0.0
Tangail,2022-23,0.59,0.0
Bagerhat,2022-23,0.0,0.0
Chuadanga,2022-23,6.85,23.6
Jessore,2022-23,2.66,2.0
Jhenaidah,2022-23,0.0,0.0
Khulna,2022-23,0.0,0.0
Kushtia,2022-23,42.0,10.0
Magura,2022-23,3.92,7.45
Meherpur,2022-23,7.54,18.0
Narail,2022-23,0.0,0.0
Satkhira,2022-23,0.0,0.0
Jamalpur,2022-23,2.0,6.0
Mymensinghh,2022-23,0.0,0.0
Netrokona,2022-23,0.0,0.0
Sherpur,2022-23,3.0,2.0
Bogura,2022-23,0.78,1.42
Joypurhat,2022-23,5.15,6.11
Naogaon,2022-23,41.68,78.65
Natore,2022-23,2.76,16.57
Chapai Nawabganj,2022-23,21.8,36.0
Pabna,2022-23,7.0,0.0
Rajshahi,2022-23,1.52,0.0
Sirajganj,2022-23,0.0,0.0
Dinajpur,2022-23,6.0,9.0
Gaibandha,2022-23,25.74,41.0
Kurigram,2022-23,16.07,48.0
Lalmonirhat,2022-23,1.66,7.0
Nilphamari,2022-23,0.0,0.0
Panchagarh,2022-23,0.0,0.0
Rangpur,2022-23,52.0,87.0
Thakurgaon,2022-23,15.9,39.0
Habiganj,2022-23,0.0,0.0
Maulvibazar,2022-23,8.56,28.61
Sunamganj,2022-23,0.0,0.0
Sylhet,2022-23,0.0,0.0
