District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,0.0
Jhalokathi,2018-19,12.0,27.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,43.0,82.0
Bandarban,2018-19,23.0,63.0
Brahmanbaria,2018-19,19.0,55.0
Chandpur,2018-19,50.0,96.0
Chattogram,2018-19,35.0,128.0
Cumilla,2018-19,21.0,39.0
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,90.0,316.0
Khagrachhari,2018-19,40.0,103.0
Lakshmipur,2018-19,16.0,60.0
Noakhali,2018-19,275.0,407.0
Rangamati,2018-19,84.0,137.0
Chattogram Division,2018-19,653.0,1404.0
Dhaka,2018-19,110.0,221.0
Faridpur,2018-19,647.0,1690.0
Gazipur,2018-19,2.0,8.0
Gopalganj,2018-19,277.0,355.0
Kishoreganj,2018-19,4.0,8.0
Madaripur,2018-19,538.0,1150.0
Manikganj,2018-19,220.0,721.0
Munshiganj,2018-19,26.0,57.0
Narayanganj,2018-19,279.0,17.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,1340.0,1801.0
Shariatpur,2018-19,145.0,278.0
Tangail,2018-19,3.0,9.0
Dhaka Division,2018-19,3591.0,6315.0
Bagerhat,2018-19,32.0,106.0
Chuadanga,2018-19,44.0,117.0
Jessore,2018-19,280.0,699.0
Jhenaidah,2018-19,270.0,675.0
Khulna,2018-19,6.0,16.0
Kushtia,2018-19,527.0,895.0
Magura,2018-19,599.0,1803.0
Meherpur,2018-19,8.0,18.0
Narail,2018-19,429.0,882.0
Satkhira,2018-19,0.0,0.0
Khulna,2018-19,2195.0,5211.0
Jamalpur,2018-19,12.0,37.0
Mymensinghh,2018-19,63.0,120.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,3.0,11.0
Mymensinghh Division,2018-19,78.0,168.0
Bogura,2018-19,0.0,0.0
Joypurhat,2018-19,5.0,17.0
Naogaon,2018-19,20.0,40.0
Natore,2018-19,300.0,839.0
Chapai Nawabganj,2018-19,150.0,398.0
Pabna,2018-19,604.0,1700.0
Rajshahi,2018-19,447.0,4242.0
Sirajganj,2018-19,3.0,12.0
Rajshahi Division,2018-19,1529.0,7248.0
Dinajpur,2018-19,12.0,31.0
Gaibandha,2018-19,2.0,7.0
Kurigram,2018-19,11.0,37.0
Lalmonirhat,2018-19,0.0,0.0
Nilphamari,2018-19,0.0,5.0
Panchagarh,2018-19,7.0,29.0
Rangpur,2018-19,2.0,5.0
Thakurgaon,2018-19,9.0,29.0
Rangpur,2018-19,43.0,143.0
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,7.0,20.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,7.0,20.0
Bhola,2020-21,0.0,0.0
Jhalokathi,2020-21,8.0,33.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,43.0,78.0
Bandarban,2020-21,23.0,65.9
Brahmanbaria,2020-21,18.0,51.45
Chandpur,2020-21,49.0,88.75
Chattogram,2020-21,44.0,135.53
Cumilla,2020-21,19.0,44.0
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,172.0,318.11
Khagrachhari,2020-21,41.0,106.3
Lakshmipur,2020-21,16.0,64.5
Noakhali,2020-21,132.0,114.7
Rangamati,2020-21,78.0,152.52
Chattogram Division,2020-21,592.0,1141.76
Dhaka,2020-21,117.0,192.1
Faridpur,2020-21,659.0,1687.0
Gazipur,2020-21,3.0,7.27
Gopalganj,2020-21,147.0,431.45
Kishoreganj,2020-21,2.0,9.41
Madaripur,2020-21,450.0,1050.94
Manikganj,2020-21,220.0,577.51
Munshiganj,2020-21,44.0,69.9
Narayanganj,2020-21,8.0,16.0
Narsingdi,2020-21,0.0,0.0
Rajbari,2020-21,756.0,1775.0
Shariatpur,2020-21,143.0,301.0
Tangail,2020-21,3.0,9.82
Dhaka Division,2020-21,2552.0,6127.4
Bagerhat,2020-21,32.0,129.0
Chuadanga,2020-21,49.0,117.5
Jessore,2020-21,303.0,655.0
Jhenaidah,2020-21,253.0,671.0
Khulna,2020-21,6.0,14.8
Kushtia,2020-21,519.0,898.0
Magura,2020-21,579.0,1806.5
Meherpur,2020-21,8.0,20.5
Narail,2020-21,371.0,696.0
