District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,32.0
Jhalokathi,2018-19,0.0,163.0
Patuakhali,2018-19,0.0,108.0
Pirojpur,2018-19,0.0,214.0
Barishal Division,2018-19,0.0,767.0
Bandarban,2018-19,0.0,37.0
Brahmanbaria,2018-19,0.0,12.0
Chandpur,2018-19,0.0,57.0
Chattogram,2018-19,0.0,234.0
Cumilla,2018-19,0.0,11.0
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,0.0,19.0
Khagrachhari,2018-19,0.0,161.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,4.0
Rangamati,2018-19,0.0,168.0
Chattogram Division,2018-19,0.0,703.0
Dhaka,2018-19,0.0,113.0
Faridpur,2018-19,0.0,199.0
Gazipur,2018-19,0.0,34.0
Gopalganj,2018-19,0.0,68.0
Kishoreganj,2018-19,0.0,7.0
Madaripur,2018-19,0.0,18.0
Manikganj,2018-19,0.0,40.0
Munshiganj,2018-19,0.0,0.0
Narayanganj,2018-19,0.0,51.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,0.0,69.0
Shariatpur,2018-19,0.0,10.0
Tangail,2018-19,0.0,218.0
Dhaka Division,2018-19,0.0,827.0
Bagerhat,2018-19,0.0,241.0
Chuadanga,2018-19,0.0,135.0
Jessore,2018-19,0.0,176.0
Jhenaidah,2018-19,0.0,277.0
Khulna,2018-19,0.0,151.0
Kushtia,2018-19,0.0,157.0
Magura,2018-19,0.0,40.0
Meherpur,2018-19,0.0,0.0
Narail,2018-19,0.0,158.0
Satkhira,2018-19,0.0,270.0
Khulna Division,2018-19,0.0,1605.0
Jamalpur,2018-19,0.0,20.0
Mymensinghh,2018-19,0.0,66.0
Netrokona,2018-19,0.0,11.0
Sherpur,2018-19,0.0,14.0
Mymensinghh Division,2018-19,0.0,111.0
Bogura,2018-19,0.0,11.0
Joypurhat,2018-19,0.0,25.0
Naogaon,2018-19,0.0,61.0
Natore,2018-19,0.0,66.0
Chapai Nawabganj,2018-19,0.0,54.0
Pabna,2018-19,0.0,40.0
Rajshahi,2018-19,0.0,669.0
Sirajganj,2018-19,0.0,271.0
Rajshahi Division,2018-19,0.0,1197.0
Dinajpur,2018-19,0.0,155.0
Gaibandha,2018-19,0.0,5.0
Kurigram,2018-19,0.0,0.0
Lalmonirhat,2018-19,0.0,0.0
Nilphamari,2018-19,0.0,2.0
Panchagarh,2018-19,0.0,56.0
Rangpur,2018-19,0.0,25.0
Thakurgaon,2018-19,0.0,67.0
Rangpur Divison,2018-19,0.0,310.0
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,0.0,145.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,0.0,145.0
Bhola,2020-21,70.0,33.3
Jhalokathi,2020-21,299.0,188.0
Patuakhali,2020-21,190.0,99.0
Pirojpur,2020-21,597.0,256.0
Barishal Division,2020-21,1984.0,851.3
Bandarban,2020-21,45.0,39.0
Brahmanbaria,2020-21,73.0,9.6
Chandpur,2020-21,86.0,56.49
Chattogram,2020-21,444.0,160.77
Cumilla,2020-21,27.0,10.18
Cox’s Bazar,2020-21,0.0,24.22
Feni,2020-21,50.0,21.15
Khagrachhari,2020-21,479.0,180.05
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,8.0,11.42
Rangamati,2020-21,444.0,154.55
Chattogram Division,2020-21,1656.0,667.43
Dhaka,2020-21,412.0,92.35
Faridpur,2020-21,846.0,168.1
Gazipur,2020-21,113.0,85.47
Gopalganj,2020-21,264.0,69.35
Kishoreganj,2020-21,12.0,3.25
Madaripur,2020-21,54.0,16.45
Manikganj,2020-21,47.0,33.47
Munshiganj,2020-21,0.0,0.0
Narayanganj,2020-21,166.0,52.95
Narsingdi,2020-21,0.0,0.0
Rajbari,2020-21,248.0,68.0
Shariatpur,2020-21,26.0,0.0
Tangail,2020-21,709.0,147.75
Dhaka Division,2020-21,2897.0,737.14
Bagerhat,2020-21,556.0,178.0
Chuadanga,2020-21,668.0,105.0
Jessore,2020-21,786.0,224.0
Jhenaidah,2020-21,1353.0,294.0
