District,Year,Hectares,Production_MT
Bhola,2018-19,46.0,193.0
Jhalokathi,2018-19,0.0,0.0
Patuakhali,2018-19,19.0,49.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,65.0,242.0
Bandarban,2018-19,1.0,0.0
Brahmanbaria,2018-19,82.0,271.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,0.0,0.0
Cumilla,2018-19,6.0,15.6
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,0.0,0.0
Khagrachhari,2018-19,0.0,0.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,3.0,15.0
Rangamati,2018-19,0.0,0.0
Chattogram Division,2018-19,92.0,301.6
Dhaka,2018-19,0.0,0.0
Faridpur,2018-19,521.0,2468.0
Gazipur,2018-19,0.0,5.62
Gopalganj,2018-19,526.0,1858.0
Kishoreganj,2018-19,0.0,0.0
Madaripur,2018-19,640.0,307.0
Manikganj,2018-19,6.0,0.0
Munshiganj,2018-19,0.0,0.0
Narayanganj,2018-19,2.0,7.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,204.0,441.0
Shariatpur,2018-19,25.0,56.0
Tangail,2018-19,27.0,127.0
Dhaka Division,2018-19,1951.0,5269.62
Bagerhat,2018-19,0.0,0.0
Chuadanga,2018-19,10.0,80.0
Jessore,2018-19,44.0,131.0
Jhenaidah,2018-19,38.0,151.0
Khulna,2018-19,0.0,0.0
Kushtia,2018-19,188.0,493.0
Magura,2018-19,822.0,11.0
Meherpur,2018-19,0.0,0.0
Narail,2018-19,234.0,389.0
Satkhira,2018-19,0.0,0.0
Khulna Division,2018-19,1336.0,1255.0
Jamalpur,2018-19,53.0,190.0
Mymensinghh,2018-19,11.0,37.0
Netrokona,2018-19,32.0,46.0
Sherpur,2018-19,3.0,3.0
Mymensinghh Division,2018-19,99.0,276.0
Bogura,2018-19,0.0,0.0
Joypurhat,2018-19,0.0,0.0
Naogaon,2018-19,35.0,84.0
Natore,2018-19,9.0,32.0
Chapai Nawabganj,2018-19,36.0,129.0
Pabna,2018-19,103.0,336.0
Rajshahi,2018-19,26.0,33.0
Sirajganj,2018-19,305.0,885.0
Rajshahi Division,2018-19,514.0,1499.0
Dinajpur,2018-19,10.0,53.0
Gaibandha,2018-19,27.0,76.0
Kurigram,2018-19,190.0,527.0
Lalmonirhat,2018-19,1.0,6.0
Nilphamari,2018-19,0.0,0.0
Panchagarh,2018-19,54.0,234.0
Rangpur,2018-19,0.0,0.0
Thakurgaon,2018-19,81.0,368.0
Rangpur Division,2018-19,363.0,1264.0
Habiganj,2018-19,7.0,20.0
Maulvibazar,2018-19,0.0,0.0
Sunamganj,2018-19,31.0,11.0
Sylhet,2018-19,6.0,18.0
Sylhet Division,2018-19,44.0,49.0
Bhola,2020-21,74.0,177.0
Jhalokathi,2020-21,0.0,0.0
Patuakhali,2020-21,6.0,52.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,80.0,247.0
Bandarban,2020-21,0.0,5.1
Brahmanbaria,2020-21,95.0,276.04
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,0.0,0.0
Cumilla,2020-21,5.57,15.0
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,0.0,0.0
Khagrachhari,2020-21,0.0,0.0
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,2.0,164.8
Rangamati,2020-21,0.0,0.0
Chattogram Division,2020-21,102.57,460.94
Dhaka,2020-21,0.0,0.0
Faridpur,2020-21,551.0,2492.25
Gazipur,2020-21,1.03,4.95
Gopalganj,2020-21,730.3,1837.2
Kishoreganj,2020-21,0.0,0.0
Madaripur,2020-21,92.0,275.83
Manikganj,2020-21,0.0,13.5
Munshiganj,2020-21,0.0,0.0
Narayanganj,2020-21,1.0,6.05
Narsingdi,2020-21,0.0,0.0
Rajbari,2020-21,119.0,282.0
Shariatpur,2020-21,24.0,54.0
Tangail,2020-21,27.0,106.61
Dhaka Division,2020-21,1545.33,5072.39
Bagerhat,2020-21,0.0,0.0
Chuadanga,2020-21,24.0,76.0
Jessore,2020-21,31.0,108.0
Jhenaidah,2020-21,58.0,150.0
Khulna,2020-21,0.0,0.0
Kushtia,2020-21,196.0,474.0
Magura,2020-21,3.0,2883.5
Meherpur,2020-21,0.0,0.0
Narail,2020-21,104.0,262.0
Satkhira,2020-21,0.0,0.0
Khulna Division,2020-21,416.0,3953.5
Jamalpur,2020-21,54.0,161.0
Mymensinghh,2020-21,13.0,41.0
Netrokona,2020-21,25.0,14.0
Sherpur,2020-21,1.0,2.0
Mymensinghh Division,2020-21,93.0,218.0
Bogura,2020-21,0.0,0.0
Joypurhat,2020-21,0.0,0.0
Naogaon,2020-21,16.0,2.0
Natore,2020-21,8.0,24.0
Chapai Nawabganj,2020-21,31.0,123.0
Pabna,2020-21,102.0,239.0
Rajshahi,2020-21,10.0,24.0
Sirajganj,2020-21,305.0,864.0
Rajshahi Division,2020-21,472.0,1276.0
Dinajpur,2020-21,14.0,41.0
Gaibandha,2020-21,23.0,76.0
Kurigram,2020-21,189.0,850.2
Lalmonirhat,2020-21,2.0,6.25
Nilphamari,2020-21,0.0,0.0
Panchagarh,2020-21,53.0,205.0
Rangpur,2020-21,0.0,0.0
Thakurgaon,2020-21,84.0,351.99
Rangpur Division,2020-21,365.0,1530.44
Habiganj,2020-21,7.0,10.0
Maulvibazar,2020-21,0.0,0.0
Sunamganj,2020-21,3.32,19.0
Sylhet,2020-21,10.0,38.0
Sylhet Division,2020-21,20.32,67.0
Bhola,2022-23,72.09,167.3
Jhalokathi,2022-23,0.0,0.0
Patuakhali,2022-23,11.02,56.5
Pirojpur,2022-23,0.0,0.0
Bandarban,2022-23,0.67,5.0
Brahmanbaria,2022-23,95.63,245.16
Chandpur,2022-23,0.0,0.0
Chattogram,2022-23,0.0,0.0
Cumilla,2022-23,5.0,17.51
Cox’s Bazar,2022-23,0.0,0.0
Feni,2022-23,0.0,0.0
Khagrachhari,2022-23,0.0,0.0
Lakshmipur,2022-23,0.0,0.0
Noakhali,2022-23,44.55,178.25
Rangamati,2022-23,0.0,0.0
Dhaka,2022-23,0.0,0.0
Faridpur,2022-23,585.0,2159.3
Gazipur,2022-23,2.16,4.6
Gopalganj,2022-23,571.8,1780.8
Kishoreganj,2022-23,0.0,0.0
Madaripur,2022-23,80.75,216.81
Manikganj,2022-23,4.65,7.16
Munshiganj,2022-23,0.0,0.0
Narayanganj,2022-23,1.27,5.65
Narsingdi,2022-23,0.0,0.0
Rajbari,2022-23,141.0,300.0
Shariatpur,2022-23,23.0,54.0
Tangail,2022-23,24.0,94.64
Bagerhat,2022-23,0.0,0.0
Chuadanga,2022-23,22.99,43.0
Jessore,2022-23,28.9,101.0
Jhenaidah,2022-23,37.14,122.1
Khulna,2022-23,0.0,0.0
Kushtia,2022-23,189.0,383.0
Magura,2022-23,809.1,2809.91
Meherpur,2022-23,0.0,0.0
Narail,2022-23,69.75,280.0
Satkhira,2022-23,0.0,0.0
Jamalpur,2022-23,51.0,165.0
Mymensinghh,2022-23,15.0,37.0
Netrokona,2022-23,6.0,5.0
Sherpur,2022-23,1.0,1.65
Bogura,2022-23,0.0,0.0
Joypurhat,2022-23,0.0,0.0
Naogaon,2022-23,0.27,0.0
Natore,2022-23,6.0,19.0
Chapai Nawabganj,2022-23,30.0,30.1
Pabna,2022-23,70.0,144.0
Rajshahi,2022-23,7.0,19.0
Sirajganj,2022-23,312.0,648.0
Dinajpur,2022-23,8.13,39.0
Gaibandha,2022-23,23.0,71.0
Kurigram,2022-23,211.9,500.0
Lalmonirhat,2022-23,1.38,8.0
Nilphamari,2022-23,0.0,0.0
Panchagarh,2022-23,43.26,144.0
Rangpur,2022-23,0.0,0.0
Thakurgaon,2022-23,79.77,342.0
Habiganj,2022-23,3.0,9.75
Maulvibazar,2022-23,0.0,0.0
Sunamganj,2022-23,16.0,31.0
Sylhet,2022-23,27.06,36.0
