District,Year,Hectares,Production_MT
Barguna,2018-19,0.0,0.0
Barguna,2019-20,1883.0,1883.0
Barishal,2018-19,0.0,0.0
Barishal,2019-20,13689.0,13689.0
Bhola,2018-19,0.0,0.0
Bhola,2019-20,7611.0,7611.0
Jhallokati,2018-19,0.0,0.0
Jhallokati,2019-20,2321.0,2360.0
Patuakhali,2018-19,0.0,0.0
Patuakhali,2019-20,6322.0,6322.0
Pirojpur,2018-19,0.0,0.0
Pirojpur,2019-20,6465.0,6465.0
Barishal Division,2018-19,0.0,0.0
Barishal Division,2019-20,38291.0,38330.0
Bandarban,2018-19,298.0,2919.0
Bandarban,2019-20,2190.0,3668.0
Brahmanbaria,2018-19,85.0,18464.0
Brahmanbaria,2019-20,8349.0,8349.0
Chandpur,2018-19,0.0,0.0
Chandpur,2019-20,9791.0,9797.0
Chattogram,2018-19,1008.0,29893.0
Chattogram,2019-20,24342.0,46737.0
Cumilla,2018-19,809.0,18641.0
Cumilla,2019-20,16862.0,17004.0
Cox’s Bazar,2018-19,260.0,4483.0
Cox’s Bazar,2019-20,4498.0,5844.0
Feni,2018-19,54.0,1121.0
Feni,2019-20,2436.0,2436.0
Khagrachari,2018-19,6259.0,1625.0
Khagrachari,2019-20,15367.0,42370.0
Lakshmipur,2018-19,0.0,0.0
Lakshmipur,2019-20,2368.0,2368.0
Noakhali,2018-19,0.0,0.0
Noakhali,2019-20,1857.0,1858.0
Rangamati,2018-19,3437.0,0.0
Rangamati,2019-20,11330.0,27761.0
"Chattogram
Division",2018-19,12210.0,77146.0
"Chattogram
Division",2019-20,99390.0,168192.0
Dhaka,2018-19,258.0,8367.0
Dhaka,2019-20,2668.0,3585.0
Faridpur,2018-19,516.0,1547.0
Faridpur,2019-20,11320.0,12837.0
Gazipur,2018-19,4557.0,62437.0
Gazipur,2019-20,60385.0,73597.0
Gopalganj,2018-19,150.0,1126.0
Gopalganj,2019-20,2308.0,2420.0
Kishoreganj,2018-19,134.0,23719.0
Kishoreganj,2019-20,23131.0,24384.0
Madaripur,2018-19,82.0,0.0
Madaripur,2019-20,2533.0,2533.0
Manikganj,2018-19,674.0,0.0
Manikganj,2019-20,5378.0,5378.0
Munshiganj,2018-19,42.0,0.0
Munshiganj,2019-20,722.0,722.0
Narayanganj,2018-19,3.0,2034.0
Narayanganj,2019-20,2047.0,2052.0
Narsingdi,2018-19,2482.0,80720.0
Narsingdi,2019-20,21199.0,35301.0
Rajbari,2018-19,126.0,0.0
Rajbari,2019-20,7790.0,10870.0
Shariatpur,2018-19,318.0,0.0
Shariatpur,2019-20,794.0,794.0
Tangail,2018-19,3168.0,64606.0
Tangail,2019-20,52124.0,66870.0
Dhaka Division,2018-19,12510.0,244556.0
Dhaka Division,2019-20,192399.0,241343.0
Bagerhat,2018-19,4.0,0.0
Bagerhat,2019-20,1965.0,2027.0
Chuadanga,2018-19,597.0,5395.0
Chuadanga,2019-20,2950.0,5462.0
Jashore,2018-19,54.0,0.0
Jashore,2019-20,5679.0,11295.0
Jhenaidah,2018-19,23.0,0.0
Jhenaidah,2019-20,7514.0,13269.0
Khulna,2018-19,47.0,4155.0
Khulna,2019-20,4305.0,4504.0
Kushtia,2018-19,277.0,56640.0
Kushtia,2019-20,63184.0,87605.0
Magura,2018-19,677.0,2867.0
Magura,2019-20,6197.0,9345.0
Meherpur,2018-19,1080.0,2867.0
Meherpur,2019-20,4793.0,9529.0
Narail,2018-19,188.0,7165.0
Narail,2019-20,4902.0,7687.0
Satkhira,2018-19,0.0,0.0
Satkhira,2019-20,2886.0,5276.0
Khulna Division,2018-19,3864.0,79089.0
Khulna Division,2019-20,104375.0,155999.0
Jamalpur,2018-19,42.0,19676.0
Jamalpur,2019-20,20780.0,21402.0
Mymensingh,2018-19,530.0,72158.0
Mymensingh,2019-20,82754.0,91207.0
Netrokona,2018-19,0.0,0.0
Netrokona,2019-20,16419.0,16419.0
Sherpur,2018-19,69.0,11672.0
Sherpur,2019-20,10682.0,11450.0
"Mymensingh
Division",2018-19,641.0,103506.0
"Mymensingh
Division",2019-20,130635.0,140478.0
Bogura,2018-19,662.0,2061.0
Bogura,2019-20,15755.0,17801.0
Joypurhat,2018-19,87.0,363.0
Joypurhat,2019-20,1851.0,2116.0
Naogaon,2018-19,152.0,776.0
Naogaon,2019-20,7834.0,9905.0
Natore,2018-19,641.0,3989.0
Natore,2019-20,26266.0,32894.0
Chapai Nawabganj,2018-19,154.0,789.0
Chapai Nawabganj,2019-20,2023.0,2708.0
Pabna,2018-19,1347.0,9080.0
Pabna,2019-20,19875.0,28447.0
Rajshahi,2018-19,393.0,2011.0
Rajshahi,2019-20,9054.0,10960.0
Sirajganj,2018-19,53.0,251.0
Sirajganj,2019-20,27990.0,28322.0
Rajshahi Division,2018-19,3489.0,19320.0
Rajshahi Division,2019-20,110648.0,133153.0
Dinajpur,2018-19,1788.0,25181.0
Dinajpur,2019-20,25869.0,36281.0
Gaibandha,2018-19,667.0,0.0
Gaibandha,2019-20,11905.0,11905.0
Kurigram,2018-19,673.0,5444.0
Kurigram,2019-20,7822.0,7822.0
Lalmonirhat,2018-19,574.0,7585.0
Lalmonirhat,2019-20,9891.0,10250.0
Nilphamari,2018-19,151.0,32233.0
Nilphamari,2019-20,30668.0,31610.0
Panchagar,2018-19,231.0,23789.0
Panchagar,2019-20,23939.0,24749.0
Rangpur,2018-19,248.0,15790.0
Rangpur,2019-20,15509.0,17010.0
Thakurgaon,2018-19,1408.0,8257.0
Thakurgaon,2019-20,4988.0,8953.0
Rangpur Divison,2018-19,5740.0,118279.0
Rangpur Divison,2019-20,130591.0,148580.0
Habiganj,2018-19,640.0,18471.0
Habiganj,2019-20,17461.0,19959.0
Moulvibazar,2018-19,1105.0,8373.0
Moulvibazar,2019-20,8481.0,14364.0
Sunamganj,2018-19,390.0,0.0
Sunamganj,2019-20,9610.0,9610.0
Sylhet,2018-19,425.0,3704.0
Sylhet,2019-20,5248.0,5564.0
Sylhet Division,2018-19,2560.0,30548.0
Sylhet Division,2019-20,40800.0,49497.0
Barguna,2020-21,600.0,0.0
Barguna,2021-22,2335.0,2335.0
Barishal,2020-21,500.0,0.0
Barishal,2021-22,13800.0,13800.0
Bhola,2020-21,600.0,0.0
Bhola,2021-22,5499.0,5499.0
Jhallokati,2020-21,700.0,0.0
Jhallokati,2021-22,2520.0,2520.0
Patuakhali,2020-21,750.0,0.0
Patuakhali,2021-22,8125.0,8125.0
Pirojpur,2020-21,800.0,0.0
Pirojpur,2021-22,6822.0,6822.0
Barishal Division,2020-21,3950.0,0.0
Barishal Division,2021-22,39101.0,39101.0
Bandarban,2020-21,300.0,1514.0
Bandarban,2021-22,771.0,1347.0
Brahmanbaria,2020-21,150.0,920.0
Brahmanbaria,2021-22,555.0,10291.0
Chandpur,2020-21,480.0,0.0
Chandpur,2021-22,10291.0,16367.0
Chattogram,2020-21,998.0,7454.0
Chattogram,2021-22,4428.0,10788.0
Cumilla,2020-21,800.0,1294.0
Cumilla,2021-22,234.0,2381.0
Cox’s Bazar,2020-21,240.0,1915.0
Cox’s Bazar,2021-22,420.0,2583.0
Feni,2020-21,100.0,109.0
Feni,2021-22,122.0,2345.0
Khagrachari,2020-21,5426.0,27549.0
Khagrachari,2021-22,147892.0,42518.0
Lakshmipur,2020-21,154.0,0.0
Lakshmipur,2021-22,2372.0,2372.0
Noakhali,2020-21,147.0,0.0
Noakhali,2021-22,1586.0,1586.0
Rangamati,2020-21,3380.0,29701.0
Rangamati,2021-22,17484.0,47643.0
"Chattogram
Division",2020-21,12175.0,70456.0
"Chattogram
Division",2021-22,53055.0,140181.0
Dhaka,2020-21,213.0,1048.0
Dhaka,2021-22,986.0,3398.0
Faridpur,2020-21,663.0,1592.0
Faridpur,2021-22,11539.0,13150.0
Gazipur,2020-21,6573.0,15097.0
