District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(Bale)","Area
(acre)","Production
(Bale))","Area
(acre)","Production
(Bale)"
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,,0.00,0.00,0.00,0.00,0.00,0.00
7,Bandarban,0.00,0.00,0.00,0.00,0.00,0.00
8,Brahmanbaria,0.00,0.00,0.00,0.00,0.00,0.00
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,0.00,0.00,0.00,0.00,0.00,0.00
11,Cumilla,0.00,0.00,0.00,0.00,0.00,0.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,11.00,12.11,14.00,16.08,15.00,19.68
15,Lakshmipur,0.00,0.00,0.00,0.00,0.00,0.00
16,Noakhali,0.00,0.00,0.00,0.00,0.00,0.00
17,Rangamati,75.00,717.00,86.90,897.64,85.95,892.80
Chattogram Division,,86.00,729.11,100.90,913.72,100.95,912.48
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00
19,Faridpur,0.00,0.00,0.00,0.00,0.00,0.00
20,Gazipur,140.13,307.55,141.22,312.58,140.69,315.84
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,0.00,0.00,0.00,0.00,0.00,0.00
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,0.00,0.00,0.00,0.00,0.00,0.00
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,235.00,1289.17,220.00,1209.16,205.00,1113.55
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,401.20,1289.17,306.37,956.36,282.50,918.34
Dhaka Division,,776.33,2885.89,667.59,2478.10,628.19,2347.73
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,662.00,2185.98,653.50,2119.40,648.00,2585.73
33,Jashore,2367.00,13356.90,1886.00,10556.83,1931.00,10879.87
34,Jhenaidah,4573.00,28154.30,4357.00,27463.64,3982.00,25118.60
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00
36,Kushtia,2001.00,7824.69,1371.00,6518.19,1221.00,8227.88
37,Magura,158.00,397.96,157.61,385.69,167.69,415.55
