District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,,0.00,0.00,0.00,0.00,0.00,0.00
7,Bandarban,0.00,0.00,0.00,0.00,0.00,0.00
8,Brahmanbaria,0.00,0.00,0.00,0.00,0.00,0.00
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,5.16,6.19,5.16,6.19,0.00,0.00
11,Cumilla,0.00,0.00,0.00,0.00,0.00,0.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,0.00,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,0.00,0.00,0.00,0.00,0.00,0.00
16,Noakhali,0.00,0.00,0.00,0.00,0.00,0.00
17,Rangamati,805.78,575.94,795.93,561.15,798.10,573.51
Chattogram Division,,810.94,582.13,795.93,561.15,798.10,573.51
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00
19,Faridpur,39.00,36.00,37.00,34.00,82.00,77.70
20,Gazipur,0.00,0.00,0.00,0.00,0.00,0.00
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,0.00,0.00,0.00,0.00,0.00,0.00
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,5280.00,4518.67,4876.93,4109.07,4574.60,3938.08
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,0.00,0.00,0.00,0.00,0.00,0.00
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,0.00,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,265.00,149.03,150.50,81.62,124.00,69.78
Dhaka Division,,5584.00,4703.70,5064.43,4224.69,4780.60,4085.56
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,2387.00,2476.38,2324.00,2567.50,2277.00,2718.75
33,Jashore,0.00,0.00,0.00,0.00,0.00,0.00
34,Jhenaidah,4018.00,3421.20,3706.00,3111.31,3240.00,2653.02
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00
36,Kushtia,31974.00,35663.00,30556.00,344410.00,37348.00,43765.00
37,Magura,1.52,1.31,1.64,0.75,1.82,0.55
